Municipality,FunctionArea,CostType,2017,2018,2019,2020,2021,2022,2023
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,10907,13499,12102,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,29084,32111,31123,.,.,.,.
0512 Lesja (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,629,792,894,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,168,195,205,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,9537,10724,11238,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11286,11738,11610,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,26225,28446,29099,.,.,.,.
0513 Skjåk (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,1140,1397,1520,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,13132,12857,12920,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12776,13236,14380,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,31752,33038,34908,.,.,.,.
0514 Lom (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,803,984,1049,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,38,6,2,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,12419,12386,13055,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12136,12767,14458,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,29049,30072,32678,.,.,.,.
0515 Vågå (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,855,1023,931,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,103,75,77,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,9919,10734,10668,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12436,13206,13746,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,27660,29077,29492,.,.,.,.
0516 Nord-Fron (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,531,570,747,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,73,90,103,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11461,13245,14481,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,9476,10072,11117,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,24965,27233,30357,.,.,.,.
0517 Sel (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,850,952,957,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,143,107,211,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,9052,9369,9284,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13164,13680,15127,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,27490,28726,30315,.,.,.,.
0519 Sør-Fron (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,551,841,941,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11363,11602,13844,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11187,11906,10811,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,26171,27698,28543,.,.,.,.
0520 Ringebu (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,557,590,653,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,257,277,277,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,4412,5508,5364,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,16628,17413,18861,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,27084,29142,30232,.,.,.,.
0521 Øyer (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,1147,1227,1281,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,51,41,49,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,7533,8420,9940,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8228,8651,9376,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,21440,23140,25657,.,.,.,.
0522 Gausdal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,798,1017,945,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,302,380,322,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,10516,10308,10648,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8006,10056,10819,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,24693,27053,27920,.,.,.,.
0528 Østre Toten (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,562,609,732,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,282,472,568,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,7320,7280,7994,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13134,14062,13627,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,23286,24740,25324,.,.,.,.
0529 Vestre Toten (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,607,756,791,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,180,170,231,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,4395,4808,4909,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12208,12842,13384,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,18865,20157,21001,.,.,.,.
0532 Jevnaker (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,692,788,883,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,442,472,455,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,8381,9252,8721,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,5759,6202,7197,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,17022,18491,19028,.,.,.,.
0533 Lunner (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,638,661,810,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,41,92,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,5862,6112,6468,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,8738,9674,10279,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,16789,18082,19134,.,.,.,.
0534 Gran (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,581,681,666,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,359,376,340,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,7509,7739,7968,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,10574,11347,12016,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,21347,22449,23446,.,.,.,.
0536 Søndre Land (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,603,501,718,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,502,540,386,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,9791,10146,10480,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,19570,20409,21259,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,33352,34659,36388,.,.,.,.
0538 Nordre Land (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,637,837,630,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,304,276,269,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11021,11527,11906,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,11979,13206,14539,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,26285,28213,29792,.,.,.,.
0540 Sør-Aurdal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,574,584,716,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,449,488,436,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,11478,11980,12553,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,15932,17495,19080,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,32538,34781,37452,.,.,.,.
0541 Etnedal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,1172,1415,1127,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,0,0,0,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,13379,15506,14868,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,16084,15320,14230,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,35351,37080,34905,.,.,.,.
0542 Nord-Aurdal (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,280,381,457,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,215,289,208,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,5452,6267,6781,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,15824,16995,17883,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,24022,26469,28400,.,.,.,.
0543 Vestre Slidre (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,465,424,551,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,75,80,75,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,3228,5292,2968,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,12389,11912,13837,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,19302,20678,21630,.,.,.,.
0544 Øystre Slidre (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,391,411,374,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,189,190,209,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,9279,9733,10070,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,9652,10002,10496,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,23245,24290,25146,.,.,.,.
0545 Vang (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,1256,1253,1220,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,225,400,353,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,15122,13769,13042,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,13760,15925,15840,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,38222,39084,38207,.,.,.,.
3301 Drammen,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3303 Kongsberg,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3305 Ringerike,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3310 Hole,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3312 Lier,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3314 Øvre Eiker,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3316 Modum,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3318 Krødsherad,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3320 Flå,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3322 Nesbyen,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3324 Gol,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3326 Hemsedal,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3328 Ål,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3330 Hol,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3332 Sigdal,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3334 Flesberg,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3336 Rollag,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
3338 Nore og Uvdal,232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,.,.,.,.,.,.,.
0602 Drammen (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,484,560,636,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,492,548,567,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,6902,7499,7988,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,6175,6834,7240,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,15766,17303,18296,.,.,.,.
0604 Kongsberg (-2019),232 Helsestasjons- og skolehelsetjeneste,Lønnsutgifter fratrukket sykelønnsrefusjon,595,626,677,.,.,.,.
,233 Annet forebyggende helsearbeid,Lønnsutgifter fratrukket sykelønnsrefusjon,138,146,124,.,.,.,.
,253 Helse- og omsorgstjenester i institusjon,Lønnsutgifter fratrukket sykelønnsrefusjon,7045,7619,8121,.,.,.,.
,254 Helse- og omsorgstjenester til hjemmeboende,Lønnsutgifter fratrukket sykelønnsrefusjon,9923,10331,10314,.,.,.,.
,FGK9 Helse- og omsorg,Lønnsutgifter fratrukket sykelønnsrefusjon,20065,21446,22120,.,.,.,.
