Name,Year,Municipality,Revenue,TotalRevenue,MarketShare,SharePct
ATLANTIC MICE TIBE AS,2019,KVAM,6058,1548091,0.0039,0.39
VIKING REDNINGSTJENESTE AS,2019,KVAM,3995,1548091,0.0026,0.26
RENTOKIL INITIAL NORGE AS,2019,KVINESDAL,52717,118087,0.4464,44.64
EHIN AS,2019,KVINESDAL,39947,118087,0.3383,33.83
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,KVINESDAL,13700,118087,0.116,11.6
HOTEL LINK AS,2019,KVINESDAL,11723,118087,0.0993,9.93
NORDIC CARE AS,2019,KVINNHERAD,6970810,23655168,0.2947,29.47
ECURA CARE AS,2019,KVINNHERAD,5799166,23655168,0.2452,24.52
SEIE AS,2019,KVINNHERAD,3568817,23655168,0.1509,15.09
FOCUS CARE NORGE AS,2019,KVINNHERAD,3111471,23655168,0.1315,13.15
KONSTALI HELSENOR AS,2019,KVINNHERAD,1662426,23655168,0.0703,7.03
KOOPERATIV BEMANNING AS,2019,KVINNHERAD,1287392,23655168,0.0544,5.44
KLETOR AS,2019,KVINNHERAD,407514,23655168,0.0172,1.72
RANDSTAD CARE AS,2019,KVINNHERAD,169000,23655168,0.0071,0.71
ARRIVA AS,2019,KVINNHERAD,145911,23655168,0.0062,0.62
THORSEN GRUPPEN AS,2019,KVINNHERAD,130822,23655168,0.0055,0.55
HELSELEVERANDØREN AS,2019,KVINNHERAD,122711,23655168,0.0052,0.52
NORDISK VÅRDINSATS AS,2019,KVINNHERAD,109153,23655168,0.0046,0.46
CONVENE COLLECTION AS,2019,KVINNHERAD,106390,23655168,0.0045,0.45
FJELL OG FJORD KONFERANSER AS,2019,KVINNHERAD,27740,23655168,0.0012,0.12
ALLIANCEPLUS AS,2019,KVINNHERAD,11125,23655168,5e-4,0.05
EGENCIA NORWAY AS,2019,KVINNHERAD,9600,23655168,4e-4,0.04
RENTOKIL INITIAL NORGE AS,2019,KVINNHERAD,10170,23655168,4e-4,0.04
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,KVINNHERAD,4950,23655168,2e-4,0.02
KONSTALI HELSENOR AS,2019,KVITESEID,271701,317653,0.8553,85.53
RENTOKIL INITIAL NORGE AS,2019,KVITESEID,27962,317653,0.088,8.8
CONFEX NORGE AS,2019,KVITESEID,17990,317653,0.0566,5.66
TOMA FACILITY NORGE AS,2019,KVÆFJORD,78160,323142,0.2419,24.19
BERG-HANSEN NORD-NORGE AS,2019,KVÆFJORD,77962,323142,0.2413,24.13
INTERRENT AS,2019,KVÆFJORD,74667,323142,0.2311,23.11
CONVENE AS,2019,KVÆFJORD,31239,323142,0.0967,9.67
HOTEL LINK AS,2019,KVÆFJORD,19605,323142,0.0607,6.07
BERGEN KONGRESS & KULTUR AS,2019,KVÆFJORD,15611,323142,0.0483,4.83
RENTOKIL INITIAL NORGE AS,2019,KVÆFJORD,10550,323142,0.0326,3.26
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,KVÆFJORD,9900,323142,0.0306,3.06
EASY PARK AS,2019,KVÆFJORD,5448,323142,0.0169,1.69
FOCUS CARE NORGE AS,2019,KVÆNANGEN,2303346,2491062,0.9246,92.46
LEGELEASING NORGE AS,2019,KVÆNANGEN,132182,2491062,0.0531,5.31
PELIAS NORSK SKADEDYRKONTROLL AS,2019,KVÆNANGEN,33619,2491062,0.0135,1.35
HOTEL LINK AS,2019,KVÆNANGEN,13247,2491062,0.0053,0.53
BERG-HANSEN NORD-NORGE AS,2019,KVÆNANGEN,8668,2491062,0.0035,0.35
SCANDINAVIAN CARE HIREMENT GROUP AS,2019,KÅFJORD,372250,1364060,0.2729,27.29
VIKAR HOUSE AS,2019,KÅFJORD,349004,1364060,0.2559,25.59
HELGESEN MASKIN AS,2019,KÅFJORD,295714,1364060,0.2168,21.68
BERG-HANSEN NORD-NORGE AS,2019,KÅFJORD,234139,1364060,0.1716,17.16
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,KÅFJORD,45449,1364060,0.0333,3.33
CONVENE AS,2019,KÅFJORD,36954,1364060,0.0271,2.71
ECURA CARE AS,2019,KÅFJORD,30550,1364060,0.0224,2.24
ECURA CARE AS,2019,LARVIK,419541,933609,0.4494,44.94
PELIAS NORSK SKADEDYRKONTROLL AS,2019,LARVIK,191467,933609,0.2051,20.51
NOKAS TEKNIKK SØR AS,2019,LARVIK,63711,933609,0.0682,6.82
CONVENE AS,2019,LARVIK,62863,933609,0.0673,6.73
HOTEL LINK AS,2019,LARVIK,44684,933609,0.0479,4.79
LOOMIS NORGE AS,2019,LARVIK,41449,933609,0.0444,4.44
EHIN AS,2019,LARVIK,39582,933609,0.0424,4.24
BERGEN KONGRESS & KULTUR AS,2019,LARVIK,27921,933609,0.0299,2.99
ATLANTIC MICE TIBE AS,2019,LARVIK,14313,933609,0.0153,1.53
LOWELL NORGE AS,2019,LARVIK,13357,933609,0.0143,1.43
EGENCIA NORWAY AS,2019,LARVIK,7485,933609,0.008,0.8
CONVENE COLLECTION AS,2019,LARVIK,7236,933609,0.0078,0.78
BERG-HANSEN NORD-NORGE AS,2019,LEBESBY,181756,213946,0.8495,84.95
RAC NORWAY AS,2019,LEBESBY,12745,213946,0.0596,5.96
HOTEL LINK AS,2019,LEBESBY,7590,213946,0.0355,3.55
ECURA CARE AS,2019,LEBESBY,6130,213946,0.0287,2.87
FIRST RENT A CAR NORWAY AS,2019,LEBESBY,3454,213946,0.0161,1.61
ALEKTUM AS,2019,LEBESBY,2271,213946,0.0106,1.06
EMPLOI HELSE AS,2019,LEIRFJORD,281163,680763,0.413,41.3
ECURA CARE AS,2019,LEIRFJORD,153207,680763,0.2251,22.51
LEGEFORMIDLING I NORGE AS,2019,LEIRFJORD,135394,680763,0.1989,19.89
BERG-HANSEN NORD-NORGE AS,2019,LEIRFJORD,90524,680763,0.133,13.3
EGENCIA NORWAY AS,2019,LEIRFJORD,6334,680763,0.0093,0.93
VIKING REDNINGSTJENESTE AS,2019,LEIRFJORD,5962,680763,0.0088,0.88
CONVENE COLLECTION AS,2019,LEIRFJORD,5439,680763,0.008,0.8
CONVENE AS,2019,LEIRFJORD,2740,680763,0.004,0.4
FIRST RENT A CAR NORWAY AS,2019,LEKA,8127,15722,0.5169,51.69
RENTOKIL INITIAL NORGE AS,2019,LEKA,7595,15722,0.4831,48.31
PELIAS NORSK SKADEDYRKONTROLL AS,2019,LESJA,65182,103757,0.6282,62.82
CONVENE AS,2019,LESJA,29760,103757,0.2868,28.68
EDEN SPRINGS (NORWAY) AS,2019,LESJA,6543,103757,0.0631,6.31
CONVENE COLLECTION AS,2019,LESJA,2272,103757,0.0219,2.19
VIKAR I NORGE AS,2019,LEVANGER,430900,811853,0.5308,53.08
FOCUS CARE NORGE AS,2019,LEVANGER,178843,811853,0.2203,22.03
KVAM AGENTUR AS,2019,LEVANGER,128488,811853,0.1583,15.83
RENTOKIL INITIAL NORGE AS,2019,LEVANGER,31777,811853,0.0391,3.91
VIKING REDNINGSTJENESTE AS,2019,LEVANGER,14694,811853,0.0181,1.81
FIRST RENT A CAR NORWAY AS,2019,LEVANGER,9051,811853,0.0111,1.11
KONTROLL OG RÅDGIVNING AS,2019,LEVANGER,6000,811853,0.0074,0.74
RAC NORWAY AS,2019,LEVANGER,5012,811853,0.0062,0.62
BERGEN KONGRESS & KULTUR AS,2019,LEVANGER,4688,811853,0.0058,0.58
EGENCIA NORWAY AS,2019,LEVANGER,2400,811853,0.003,0.3
ALIER AS,2019,LIER,10819284,10977327,0.9856,98.56
RAC NORWAY AS,2019,LIER,42668,10977327,0.0039,0.39
HOTEL LINK AS,2019,LIER,41762,10977327,0.0038,0.38
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,LIER,19800,10977327,0.0018,0.18
EGENCIA NORWAY AS,2019,LIER,13413,10977327,0.0012,0.12
KONTROLL OG RÅDGIVNING AS,2019,LIER,10475,10977327,0.001,0.1
LOOMIS NORGE AS,2019,LIER,8155,10977327,7e-4,0.07
MOTION PICTURE LICENSING COMPANY NORGE AS,2019,LIER,5307,10977327,5e-4,0.05
VERISURE AS,2019,LIER,5606,10977327,5e-4,0.05
EHIN AS,2019,LIER,4538,10977327,4e-4,0.04
NOKAS TEKNIKK SØR AS,2019,LIER,4240,10977327,4e-4,0.04
VIKING REDNINGSTJENESTE AS,2019,LIER,2079,10977327,2e-4,0.02
CENTRIC CARE AS,2019,LILLEHAMMER,14162668,29990633,0.4722,47.22
ADECCO INDUSTRI AS,2019,LILLEHAMMER,6323988,29990633,0.2109,21.09
HELSELEVERANDØREN AS,2019,LILLEHAMMER,3520216,29990633,0.1174,11.74
HELSE PERSONAL AS,2019,LILLEHAMMER,3473990,29990633,0.1158,11.58
NORDISK VÅRDINSATS AS,2019,LILLEHAMMER,973070,29990633,0.0324,3.24
NORDIC NURSE AS,2019,LILLEHAMMER,487880,29990633,0.0163,1.63
ECURA CARE AS,2019,LILLEHAMMER,430688,29990633,0.0144,1.44
NORDISK VÅRDINSATS AB,2019,LILLEHAMMER,251394,29990633,0.0084,0.84
EASY PARK AS,2019,LILLEHAMMER,146312,29990633,0.0049,0.49
HOTEL LINK AS,2019,LILLEHAMMER,63776,29990633,0.0021,0.21
RAC NORWAY AS,2019,LILLEHAMMER,49278,29990633,0.0016,0.16
INSIDER FACILITY SOLUTIONS AS,2019,LILLEHAMMER,41045,29990633,0.0014,0.14
BERGEN KONGRESS & KULTUR AS,2019,LILLEHAMMER,34226,29990633,0.0011,0.11
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,LILLEHAMMER,8750,29990633,3e-4,0.03
ATLANTIC MICE TIBE AS,2019,LILLEHAMMER,6240,29990633,2e-4,0.02
TOMA FACILITY NORGE AS,2019,LILLEHAMMER,6903,29990633,2e-4,0.02
FIRST RENT A CAR NORWAY AS,2019,LILLEHAMMER,3814,29990633,1e-4,0.01
LOOMIS NORGE AS,2019,LILLEHAMMER,3491,29990633,1e-4,0.01
POLYGON AS,2019,LILLEHAMMER,2904,29990633,1e-4,0.01
HELSELEVERANDØREN AS,2019,LILLESAND,133808,201757,0.6632,66.32
BERGEN KONGRESS & KULTUR AS,2019,LILLESAND,26779,201757,0.1327,13.27
EGENCIA NORWAY AS,2019,LILLESAND,21600,201757,0.1071,10.71
PELIAS NORSK SKADEDYRKONTROLL AS,2019,LILLESAND,6929,201757,0.0343,3.43
N3 NORGE AS,2019,LILLESAND,6666,201757,0.033,3.3
VIKING REDNINGSTJENESTE AS,2019,LILLESAND,3255,201757,0.0161,1.61
RAC NORWAY AS,2019,LILLESAND,2720,201757,0.0135,1.35
NORDIC CARE AS,2019,LILLESTRØM,1592487,6825933,0.2333,23.33
ACCURATE CARE AS,2019,LILLESTRØM,1330441,6825933,0.1949,19.49
ECURA CARE AS,2019,LILLESTRØM,801679,6825933,0.1174,11.74
VIKAR HOUSE AS,2019,LILLESTRØM,790975,6825933,0.1159,11.59
KOOPERATIV BEMANNING AS,2019,LILLESTRØM,636197,6825933,0.0932,9.32
DEDICARE AS,2019,LILLESTRØM,310035,6825933,0.0454,4.54
ADECCO INDUSTRI AS,2019,LILLESTRØM,254815,6825933,0.0373,3.73
HOTEL LINK AS,2019,LILLESTRØM,199222,6825933,0.0292,2.92
SEIE AS,2019,LILLESTRØM,132070,6825933,0.0193,1.93
UNIVERSAL PRESENTKORT AS,2019,LILLESTRØM,112956,6825933,0.0165,1.65
ADECCO NORGE AS,2019,LILLESTRØM,100754,6825933,0.0148,1.48
NORDISK VÅRDINSATS AS,2019,LILLESTRØM,70000,6825933,0.0103,1.03
EGENCIA NORWAY AS,2019,LILLESTRØM,65620,6825933,0.0096,0.96
PELIAS NORSK SKADEDYRKONTROLL AS,2019,LILLESTRØM,55528,6825933,0.0081,0.81
EDEN SPRINGS (NORWAY) AS,2019,LILLESTRØM,53872,6825933,0.0079,0.79
LOOMIS NORGE AS,2019,LILLESTRØM,46642,6825933,0.0068,0.68
BERGEN KONGRESS & KULTUR AS,2019,LILLESTRØM,36276,6825933,0.0053,0.53
CONFEX NORGE AS,2019,LILLESTRØM,33990,6825933,0.005,0.5
CONVENE AS,2019,LILLESTRØM,32848,6825933,0.0048,0.48
RENTOKIL INITIAL NORGE AS,2019,LILLESTRØM,30404,6825933,0.0045,0.45
ASKELADDEN BEMANNING AS,2019,LILLESTRØM,26081,6825933,0.0038,0.38
ATLANTIC MICE TIBE AS,2019,LILLESTRØM,25926,6825933,0.0038,0.38
EASY PARK AS,2019,LILLESTRØM,17306,6825933,0.0025,0.25
FIRST RENT A CAR NORWAY AS,2019,LILLESTRØM,16805,6825933,0.0025,0.25
CONGRESS CONFERENCE AS,2019,LILLESTRØM,16030,6825933,0.0023,0.23
CONVENE COLLECTION AS,2019,LILLESTRØM,10659,6825933,0.0016,0.16
FJELL OG FJORD KONFERANSER AS,2019,LILLESTRØM,7737,6825933,0.0011,0.11
VERISURE AS,2019,LILLESTRØM,6050,6825933,9e-4,0.09
AS SKAN-KONTROLL,2019,LILLESTRØM,4777,6825933,7e-4,0.07
VIKING REDNINGSTJENESTE AS,2019,LILLESTRØM,5018,6825933,7e-4,0.07
RAC NORWAY AS,2019,LILLESTRØM,2733,6825933,4e-4,0.04
ADECCO NORGE AS,2019,LINDESNES,383187,413242,0.9273,92.73
HOTEL LINK AS,2019,LINDESNES,13888,413242,0.0336,3.36
MOTION PICTURE LICENSING COMPANY NORGE AS,2019,LINDESNES,10292,413242,0.0249,2.49
VIKING REDNINGSTJENESTE AS,2019,LINDESNES,3255,413242,0.0079,0.79
RENTOKIL INITIAL NORGE AS,2019,LINDESNES,2620,413242,0.0063,0.63
CENTRIC CARE AS,2019,LOM,261902,294682,0.8888,88.88
CONVENE AS,2019,LOM,30480,294682,0.1034,10.34
EGENCIA NORWAY AS,2019,LOM,2300,294682,0.0078,0.78
ACCURATE CARE AS,2019,LOPPA,2961418,3095151,0.9568,95.68
CONVENE COLLECTION AS,2019,LOPPA,63478,3095151,0.0205,2.05
PELIAS NORSK SKADEDYRKONTROLL AS,2019,LOPPA,38982,3095151,0.0126,1.26
CONVENE AS,2019,LOPPA,28173,3095151,0.0091,0.91
ECURA CARE AS,2019,LOPPA,3100,3095151,0.001,0.1
CONVENE COLLECTION AS,2019,LUNNER,21988,62880,0.3497,34.97
HOTEL LINK AS,2019,LUNNER,21842,62880,0.3474,34.74
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,LUNNER,10650,62880,0.1694,16.94
ECURA CARE AS,2019,LUNNER,4800,62880,0.0763,7.63
EGENCIA NORWAY AS,2019,LUNNER,3600,62880,0.0573,5.73
RANDSTAD CARE AS,2019,LURØY,689529,1763578,0.391,39.1
DEDICARE DOCTOR AS,2019,LURØY,570397,1763578,0.3234,32.34
ECURA CARE AS,2019,LURØY,291726,1763578,0.1654,16.54
CENTRIC CARE AS,2019,LURØY,208630,1763578,0.1183,11.83
BERG-HANSEN NORD-NORGE AS,2019,LURØY,3296,1763578,0.0019,0.19
VIKAR HOUSE AS,2019,LUSTER,577498,1270804,0.4544,45.44
VIKAR I NORGE AS,2019,LUSTER,467095,1270804,0.3676,36.76
ALLIANCEPLUS AS,2019,LUSTER,155099,1270804,0.122,12.2
CONVENE AS,2019,LUSTER,33438,1270804,0.0263,2.63
HOTEL LINK AS,2019,LUSTER,29119,1270804,0.0229,2.29
CONGRESS CONFERENCE AS,2019,LUSTER,8555,1270804,0.0067,0.67
KONSTALI HELSENOR AS,2019,LYNGDAL,543735,1898930,0.2863,28.63
ECURA CARE AS,2019,LYNGDAL,537555,1898930,0.2831,28.31
KLETOR AS,2019,LYNGDAL,394200,1898930,0.2076,20.76
KOOPERATIV BEMANNING AS,2019,LYNGDAL,302678,1898930,0.1594,15.94
ASKELADDEN BEMANNING AS,2019,LYNGDAL,69142,1898930,0.0364,3.64
HOTEL LINK AS,2019,LYNGDAL,20166,1898930,0.0106,1.06
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,LYNGDAL,16600,1898930,0.0087,0.87
RENTOKIL INITIAL NORGE AS,2019,LYNGDAL,8823,1898930,0.0046,0.46
EDEN SPRINGS (NORWAY) AS,2019,LYNGDAL,3016,1898930,0.0016,0.16
MOTION PICTURE LICENSING COMPANY NORGE AS,2019,LYNGDAL,3015,1898930,0.0016,0.16
LEGEFORMIDLING I NORGE AS,2019,LYNGEN,252598,296679,0.8514,85.14
CONVENE AS,2019,LYNGEN,29760,296679,0.1003,10.03
BERG-HANSEN NORD-NORGE AS,2019,LYNGEN,12010,296679,0.0405,4.05
CONVENE COLLECTION AS,2019,LYNGEN,2311,296679,0.0078,0.78
DEDICARE DOCTOR AS,2019,LÆRDAL,419519,646598,0.6488,64.88
KLETOR AS,2019,LÆRDAL,153436,646598,0.2373,23.73
CONVENE AS,2019,LÆRDAL,66788,646598,0.1033,10.33
CONGRESS CONFERENCE AS,2019,LÆRDAL,6855,646598,0.0106,1.06
KONSTALI HELSENOR AS,2019,LØDINGEN,1142300,2593438,0.4405,44.05
KLETOR AS,2019,LØDINGEN,912221,2593438,0.3517,35.17
FOCUS CARE NORGE AS,2019,LØDINGEN,401002,2593438,0.1546,15.46
LEGEFORMIDLING I NORGE AS,2019,LØDINGEN,50075,2593438,0.0193,1.93
CONVENE AS,2019,LØDINGEN,35367,2593438,0.0136,1.36
BERG-HANSEN NORD-NORGE AS,2019,LØDINGEN,18780,2593438,0.0072,0.72
CONVENE COLLECTION AS,2019,LØDINGEN,10718,2593438,0.0041,0.41
RENTOKIL INITIAL NORGE AS,2019,LØDINGEN,10604,2593438,0.0041,0.41
BERGEN KONGRESS & KULTUR AS,2019,LØDINGEN,7703,2593438,0.003,0.3
KONTROLL OG RÅDGIVNING AS,2019,LØDINGEN,4668,2593438,0.0018,0.18
CONVENE AS,2019,LØTEN,73008,152206,0.4797,47.97
HOTEL LINK AS,2019,LØTEN,37786,152206,0.2483,24.83
ECURA CARE AS,2019,LØTEN,18000,152206,0.1183,11.83
PELIAS NORSK SKADEDYRKONTROLL AS,2019,LØTEN,14426,152206,0.0948,9.48
VIKING REDNINGSTJENESTE AS,2019,LØTEN,3742,152206,0.0246,2.46
FIRST RENT A CAR NORWAY AS,2019,LØTEN,2944,152206,0.0193,1.93
EGENCIA NORWAY AS,2019,LØTEN,2300,152206,0.0151,1.51
BRAGEVA AS,2019,MALVIK,225783,575472,0.3923,39.23
DEDICARE AS,2019,MALVIK,117332,575472,0.2039,20.39
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,MALVIK,103426,575472,0.1797,17.97
N3 NORGE AS,2019,MALVIK,100697,575472,0.175,17.5
ADECCO NORGE AS,2019,MALVIK,12694,575472,0.0221,2.21
HOTEL LINK AS,2019,MALVIK,11356,575472,0.0197,1.97
BOSS NORGE AS,2019,MALVIK,2160,575472,0.0038,0.38
EGENCIA NORWAY AS,2019,MALVIK,2024,575472,0.0035,0.35
KOOPERATIV BEMANNING AS,2019,MARKER,210190,411624,0.5106,51.06
KONSTALI HELSENOR AS,2019,MARKER,135519,411624,0.3292,32.92
CONVENE AS,2019,MARKER,31244,411624,0.0759,7.59
UNIVERSAL PRESENTKORT AS,2019,MARKER,17199,411624,0.0418,4.18
ECURA CARE AS,2019,MARKER,8000,411624,0.0194,1.94
CONVENE COLLECTION AS,2019,MARKER,6983,411624,0.017,1.7
NORDIC CARE AS,2019,MARKER,2489,411624,0.006,0.6
ECURA CARE AS,2019,MELHUS,778588,969429,0.8031,80.31
RENTOKIL INITIAL NORGE AS,2019,MELHUS,128371,969429,0.1324,13.24
HOTEL LINK AS,2019,MELHUS,38470,969429,0.0397,3.97
PELIAS NORSK SKADEDYRKONTROLL AS,2019,MELHUS,13646,969429,0.0141,1.41
EGENCIA NORWAY AS,2019,MELHUS,7449,969429,0.0077,0.77
AS SKAN-KONTROLL,2019,MELHUS,2905,969429,0.003,0.3
ECURA CARE AS,2019,MERÅKER,280822,436672,0.6431,64.31
DEDICARE AS,2019,MERÅKER,145879,436672,0.3341,33.41
RENTOKIL INITIAL NORGE AS,2019,MERÅKER,7639,436672,0.0175,1.75
LOWELL NORGE AS,2019,MERÅKER,2332,436672,0.0053,0.53
HELSELEVERANDØREN AS,2019,MIDT-TELEMARK,492661,617772,0.7975,79.75
HOTEL LINK AS,2019,MIDT-TELEMARK,63293,617772,0.1025,10.25
CONVENE AS,2019,MIDT-TELEMARK,36259,617772,0.0587,5.87
CONVENE COLLECTION AS,2019,MIDT-TELEMARK,8881,617772,0.0144,1.44
RENTOKIL INITIAL NORGE AS,2019,MIDT-TELEMARK,5032,617772,0.0081,0.81
LOOMIS NORGE AS,2019,MIDT-TELEMARK,4710,617772,0.0076,0.76
VIKING REDNINGSTJENESTE AS,2019,MIDT-TELEMARK,2463,617772,0.004,0.4
EGENCIA NORWAY AS,2019,MIDT-TELEMARK,2400,617772,0.0039,0.39
RAC NORWAY AS,2019,MIDT-TELEMARK,2073,617772,0.0034,0.34
ECURA CARE AS,2019,MIDTRE GAULDAL,1579875,1675849,0.9427,94.27
CONVENE AS,2019,MIDTRE GAULDAL,39726,1675849,0.0237,2.37
PELIAS NORSK SKADEDYRKONTROLL AS,2019,MIDTRE GAULDAL,37942,1675849,0.0226,2.26
CONVENE COLLECTION AS,2019,MIDTRE GAULDAL,13158,1675849,0.0079,0.79
LOOMIS NORGE AS,2019,MIDTRE GAULDAL,3059,1675849,0.0018,0.18
N3 NORGE AS,2019,MIDTRE GAULDAL,2089,1675849,0.0012,0.12
ECURA CARE AS,2019,MODALEN,1248718,1488266,0.839,83.9
ACCURATE CARE AS,2019,MODALEN,233023,1488266,0.1566,15.66
RENTOKIL INITIAL NORGE AS,2019,MODALEN,6525,1488266,0.0044,0.44
HOTEL LINK AS,2019,MODUM,42898,76938,0.5576,55.76
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,MODUM,24750,76938,0.3217,32.17
RENTOKIL INITIAL NORGE AS,2019,MODUM,6890,76938,0.0896,8.96
EGENCIA NORWAY AS,2019,MODUM,2400,76938,0.0312,3.12
CONVENE AS,2019,MOLDE,33431,45459,0.7354,73.54
CONVENE COLLECTION AS,2019,MOLDE,9382,45459,0.2064,20.64
POLYGON AS,2019,MOLDE,2646,45459,0.0582,5.82
ACCURATE CARE AS,2019,MOSS,1525313,5776062,0.2641,26.41
KONSTALI HELSENOR AS,2019,MOSS,1500337,5776062,0.2598,25.98
NORDIC NURSE AS,2019,MOSS,1254897,5776062,0.2173,21.73
ADECCO INDUSTRI AS,2019,MOSS,972302,5776062,0.1683,16.83
NORDIC CARE AS,2019,MOSS,226946,5776062,0.0393,3.93
KOOPERATIV BEMANNING AS,2019,MOSS,144688,5776062,0.025,2.5
HOTEL LINK AS,2019,MOSS,39764,5776062,0.0069,0.69
MANPOWER AS,2019,MOSS,38219,5776062,0.0066,0.66
FIRST RENT A CAR NORWAY AS,2019,MOSS,16754,5776062,0.0029,0.29
EGENCIA NORWAY AS,2019,MOSS,9600,5776062,0.0017,0.17
VIKING REDNINGSTJENESTE AS,2019,MOSS,9688,5776062,0.0017,0.17
MOTION PICTURE LICENSING COMPANY NORGE AS,2019,MOSS,8544,5776062,0.0015,0.15
EDEN SPRINGS (NORWAY) AS,2019,MOSS,7200,5776062,0.0012,0.12
PELIAS NORSK SKADEDYRKONTROLL AS,2019,MOSS,7122,5776062,0.0012,0.12
BERGEN KONGRESS & KULTUR AS,2019,MOSS,4010,5776062,7e-4,0.07
EASY PARK AS,2019,MOSS,3352,5776062,6e-4,0.06
FJELL OG FJORD KONFERANSER AS,2019,MOSS,2808,5776062,5e-4,0.05
CONVENE COLLECTION AS,2019,MOSS,2270,5776062,4e-4,0.04
ECURA CARE AS,2019,MOSS,2248,5776062,4e-4,0.04
FOCUS CARE NORGE AS,2019,MÅLSELV,2633124,5037691,0.5227,52.27
NORDIC NURSE AS,2019,MÅLSELV,1913253,5037691,0.3798,37.98
CENTRIC CARE AS,2019,MÅLSELV,194864,5037691,0.0387,3.87
HELSELEVERANDØREN AS,2019,MÅLSELV,140513,5037691,0.0279,2.79
CONVENE AS,2019,MÅLSELV,93589,5037691,0.0186,1.86
FIRST RENT A CAR NORWAY AS,2019,MÅLSELV,16358,5037691,0.0032,0.32
HOTEL LINK AS,2019,MÅLSELV,14825,5037691,0.0029,0.29
BERGEN KONGRESS & KULTUR AS,2019,MÅLSELV,10209,5037691,0.002,0.2
CONGRESS CONFERENCE AS,2019,MÅLSELV,7920,5037691,0.0016,0.16
CONVENE COLLECTION AS,2019,MÅLSELV,5907,5037691,0.0012,0.12
BERG-HANSEN NORD-NORGE AS,2019,MÅLSELV,4329,5037691,9e-4,0.09
RENTOKIL INITIAL NORGE AS,2019,MÅLSELV,2800,5037691,6e-4,0.06
FJELL OG FJORD KONFERANSER AS,2019,MÅSØY,7646,12876,0.5938,59.38
CONVENE AS,2019,MÅSØY,5230,12876,0.4062,40.62
DEDICARE AS,2019,NAMSOS,1265132,2661741,0.4753,47.53
ACCURATE CARE AS,2019,NAMSOS,1222888,2661741,0.4594,45.94
LEGEPARTNER AS,2019,NAMSOS,68468,2661741,0.0257,2.57
HOTEL LINK AS,2019,NAMSOS,54783,2661741,0.0206,2.06
RENTOKIL INITIAL NORGE AS,2019,NAMSOS,25789,2661741,0.0097,0.97
KONTROLL OG RÅDGIVNING AS,2019,NAMSOS,11911,2661741,0.0045,0.45
VIKING REDNINGSTJENESTE AS,2019,NAMSOS,5542,2661741,0.0021,0.21
FIRST RENT A CAR NORWAY AS,2019,NAMSOS,3904,2661741,0.0015,0.15
LOWELL NORGE AS,2019,NAMSOS,3324,2661741,0.0012,0.12
CENTRIC CARE AS,2019,NANNESTAD,369883,770016,0.4804,48.04
EMBRE PARK & ANLEGG AS,2019,NANNESTAD,225570,770016,0.2929,29.29
PELIAS NORSK SKADEDYRKONTROLL AS,2019,NANNESTAD,109117,770016,0.1417,14.17
HOTEL LINK AS,2019,NANNESTAD,40589,770016,0.0527,5.27
ADECCO NORGE AS,2019,NANNESTAD,17207,770016,0.0223,2.23
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2019,NANNESTAD,4950,770016,0.0064,0.64
AS SKAN-KONTROLL,2019,NANNESTAD,2700,770016,0.0035,0.35
FOCUS CARE NORGE AS,2019,NARVIK,6894802,18196855,0.3789,37.89
KOOPERATIV BEMANNING AS,2019,NARVIK,5403382,18196855,0.2969,29.69
KLETOR AS,2019,NARVIK,2564013,18196855,0.1409,14.09
ECURA CARE AS,2019,NARVIK,1705841,18196855,0.0937,9.37
ACCURATE CARE AS,2019,NARVIK,633615,18196855,0.0348,3.48
DEDICARE AS,2019,NARVIK,535344,18196855,0.0294,2.94
BERG-HANSEN NORD-NORGE AS,2019,NARVIK,122836,18196855,0.0068,0.68
